typ,u1_nr,u1_bezeichnung,u2_nr,u2_bezeichnung,u3_nr,u3_bezeichnung,ANS_PLJ,ANS_VJ,PLAN_FJ1,PLAN_FJ2,PLAN_FJ3,PLAN_FJ4,RE_VVJ,RE_VJ3,ROW_NR,ROW_TEXT,TXTSONST,TXTVZ,SUM_VE,PLAN_FJ5,VE_FJ1,VE_FJ2,VE_FJ3,VE_FJ4,VE_FJ5,ERM_VVJ,BER_GEL,BUD_BER,GES_E_A,GES_EA_GEN

ERGHHG,,Ergebnisplan,,,,,109967303.0,100861304.0,114743897.0,119290437.0,123686657.0,0.0,103564714.2,0.0,   1,Steuern und �hnliche Abgaben,,,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,65680282.14,64185627.03,73045848.4,75578354.14,78111984.67,0.0,54399130.9,0.0,   2,Zuwendungen und allgemeine Umlagen,,+,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,1369535.0,1324506.0,1416091.0,1464232.0,1514005.0,0.0,1309021.8,0.0,   3,Sonstige Transferertr�ge,,+,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,36858244.12,36117781.37,37084604.59,37329465.3,37154796.91,0.0,33683573.93,0.0,   4,�ffentlich-rechtliche Leistungsentgelte,,+,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,2216013.14,2345585.29,2261561.08,2292866.29,2329105.43,0.0,2255730.23,0.0,   5,Privatrechtliche Leistungsentgelte,,+,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,6039294.0,5913975.0,6091419.0,6101869.0,6071672.0,0.0,5904790.42,0.0,   6,Kostenerstattungen und Kostenumlagen,,+,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,10682101.0,10299134.0,10886120.0,10997526.0,11118700.0,0.0,11370893.18,0.0,   7,Sonstige ordentliche Ertr�ge,,+,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,500000.0,683000.0,500000.0,500000.0,500000.0,0.0,98411.15,0.0,   8,Aktivierte Eigenleistungen,,+,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   9,Bestandsver�nderungen,,+/-,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,233312772.4,221730912.69,246029541.07,253554749.73,260486921.01,0.0,212586265.81,0.0,  10,Ordentliche Ertr�ge,,=,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,-39438806.95,-41292111.21,-40258292.07,-40838244.89,-40971459.43,0.0,-43144702.9,0.0,  11,Personalaufwendungen,,-,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,-4214175.84,-3463364.79,-4277389.4,-4341549.92,-4406673.97,0.0,-7458636.4,0.0,  12,Versorgungsaufwendungen,,-,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,-37286855.0,-39063375.0,-37261630.0,-37852363.0,-37413287.0,0.0,-37176081.32,0.0,  13,Aufwendungen f�r Sach- und Dienstleistungen,,-,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,-33907609.61,-33550842.4,-33141290.33,-32806357.67,-32597895.13,0.0,-32852082.19,0.0,  14,Bilanzielle Abschreibungen,,-,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,-102177634.0,-95699892.0,-105284811.0,-108694417.0,-111456208.0,0.0,-96610646.5,0.0,  15,Transferaufwendungen,,-,,,,,,,,,,,,
